Story Title,Date Published,Story Text,Related Service,Summary
Everyone treated with the upmost respect,yesterday,"I just got tested and I felt okay, everyone treated with the upmost respect.",About:Sexual Health Services - North Staffordshire and Stoke-on-Trent (Open Clinic)Sexual Health Services - North Staffordshire and Stoke-on-Trent (Open Clinic)ST6 2JNhttps://openclinic.org.uk/clinics/cobridge-community-health-centre/,What was good? staff How did you feel? respected
Overall my experience was very positive,yesterday,"I was told to attend hospital by my GP and I went to A&E at Daisy Hill with lower back pain and numbness in both my legs.I was quickly triaged and seen to by a lovely doctor who explained everything and answered all the questions I had, I was told I needed an MRI and was given one for the next day.I went back and was seen by the loveliest friendliest team for my MRI,  they made me feel at ease and kept everyone in the waiting area amused.I then had to go back to A&E and await my MRI result, again a lovely doctor took me in and explained everything and I’ve now been referred to the relevant team. Overall my experience in Daisy Hill was very positive.",About:Daisy Hill Hospital / Emergency DepartmentDaisy Hill Hospital Emergency DepartmentBT35 8DRRadiography services / MRI ServicesRadiography services MRI ServicesNewryBT35 8DR,What was good? doctor explanation friendly great team questions answered seen quickly How did you feel? at ease positive
Friendly and fantastic service,yesterday,"Reported a fault on my daughter’s wheelchair less than 24 hours a text informing me that an engineer will be in contact soon. Five days later a phone call letting me know that they will be with me within another two days to the house to repair the wheelchair.On arrival to the house lovely engineer, same one we’ve had many times, repaired the wheelchair  in a timely manner- very friendly and fantastic service as always, thank you.",About:Community Services (Adult Physical Health) / Wheelchair and specialist seatingCommunity Services (Adult Physical Health) Wheelchair and specialist seatingDoncasterDN4 8QN,What was good? engineer friendly lovely staff service timely How did you feel? fantastic thank you thankful
My daughter's treatment,yesterday,"After a recent horse riding accident, I took my daughter to Monklands A&E Department. I originally thought it was just a sprain but after a couple of days, I just felt it wasn't quite right.The reception staff were really helpful and pointed my to the e-check in, which was easy to complete and my daughter was seen, x-rayed and plastered up in the minor injuries department, all within 1.5hours.The staff were so kind, Stephen who we saw initially was great at using humour to help relax my daughter, the radiography staff were brilliant and Gaynor was the loveliest nurse who put on the plaster cast, talked us through everything and even showed us the x-ray and explained the fracture.I received a call the very next day inviting us to see the consultant just 1 week later. The process has been so smooth and really helped by the staff involved at each step.",About:University Hospital Monklands / Emergency DepartmentUniversity Hospital Monklands Emergency DepartmentML6 0JSUniversity Hospital Monklands / RadiologyUniversity Hospital Monklands RadiologyAirdrieML6 0JS,"Lesley Sharp Deputy Diagnostic Service Manager, University Hospital Monklands, NHS Lanarkshire More responses from Lesley Submitted on 08/08/2025 at 16:04 Published on Care Opinion at 16:04 Share this response"
Amazing staff at pregnancy scan,yesterday,"Had my 12 week ultrasound and appointment. We first met with the receptionist who was absolutely amazing. She made us laugh and she went above and beyond to fix my name where there had been a mistake. I couldn't get over how willing she was to help and offered to fix it for me which was not an easy task.A lovely lady called Michelle took my scan and really made me feel so comfortable, took away all nerves, made my husband and I at ease. She was so descriptive in showing us our baby and to understand the scan pictures. She also had a student nurse with her so also was so bubbly and lovely and helped me and made us laugh. Very rarely have I come across people so lovely working in a hospital. I really hope to see them again at my next appointment.Shauna took me for all my questions and bloods and she had such an amazing smile and made us feel so welcomed and heard. Time flew with her and nothing felt daunting especially when you're asked so many questions, she made it comfortable and fun and explained everything so we completely understood everything. We felt seen and heard. We are really glad to have chosen the royal hospital for our maternity scans.",About:Maternity care / Ante-Natal ClinicMaternity care Ante-Natal ClinicBT12 6BA,"Sharon Sinton Lead Midwife, Maternity, Belfast Health and Social Care Trust More responses from Sharon Lead Midwife for the Antenatal Clinics in RJMS and Mater,  Antenatal Education, Antenatal Screening, IOL Team and Community Midwives Submitted on 08/08/2025 at 16:17 Published on Care Opinion at 16:17 Share this response"
Lovely health visitor,yesterday,"I had the health visitor, Caroline, visit me today and thought she was very lovely and informative giving me groups etc to go to with my baby.",About:Children & Young People Physical Health / North Lincolnshire Health VisitorsChildren & Young People Physical Health North Lincolnshire Health VisitorsDN4 8QN,"Amber Dalton Team Leader 0-19 (25 SEND), Children's Care Group, Rotherham, Doncaster and South Humber NHS Foundation Trust More responses from Amber Submitted on 08/08/2025 at 16:04 Published on Care Opinion at 16:04 Share this response"
Wonderful care,yesterday,"I've just had the pleasure of spending an hour with Paul, a highly skilled and incredibly knowledgeable Clinical Neurophysiologist.  Not only was he an expert in his field, but his patient manner was exemplary.  He was kind, efficient, professional, carrying out the required tests with the upmost professionalism.  But at the same time, he expanded my brain with a discussion about all things Neurophysiological.Thank you Paul.  You are clearly a national /international expert in your field and also have a wonderful patient manner.",About:Royal Devon & Exeter Hospital (Wonford) / NeurophysiologyRoyal Devon & Exeter Hospital (Wonford) NeurophysiologyExeterEX2 5DW,"Sophie Howard Neurophysiology Healthcare Science Assistant (Eastern Services), Neurophysiology (Eastern Services), Royal Devon University Healthcare NHS Foundation Trust More responses from Sophie Healthcare Science Assistant Submitted on 08/08/2025 at 16:14 Published on Care Opinion at 16:15 Share this response"
It is difficult to know where to start,yesterday,"My son (late teens) has had poor mental health since the age of 4. We have engaged with pretty much every health agency in Oxfordshire, including CAMHS. The fact that this is the go-to service for young people's mental health is truly scary.It is difficult to know where to start with just how bad our experience has been.• The waiting times are often of two years or more.• The treatment offered is of little use, often consisting of online forums and vague parental self help programs that are simply unfit for purpose.• Upon completing a course of this 'treatment' the young person is simply discharged with no follow on care, and no escalation of care if that initial course of treatment has proved ineffective.• We were offered involvement with an online forum. There is no user verification with this forum, meaning that anyone of any age could begin conversations with vulnerable young people. It does not appear to be moderated in any way. A majority of the accounts on it are automated bots with no human involvement behind them. The fact that this is considered treatment for mental health conditions is nothing short of scandalous.• Upon making a complaint, I was told that the CAMHS service was decimated by COVID and lockdown. COVID was over 5 years ago. I would have expected somebody to have dragged the service back into something resembling normalcy by now. I suspect that the poor service on offer now is regarded as normal.",About:Oxford Health NHS Foundation Trust / Child and Adolescent Mental Health  OxfordshireOxford Health NHS Foundation Trust Child and Adolescent Mental Health  OxfordshireOxfordOX4 2GX,What could be improved? care complaints process effective treatments follow-up care prescribing medications service availability treatment options waiting lists How did you feel? angry anxious depressed furious ignored scared
She has made me feel so supported and looked after,yesterday,"I have 4 children and have had this health visitor Alyson for over 6 years .She has been amazing and even more so over the past three years when I had my twins who were born at 32 weeks after a traumatic birth and 4 weeks in the NICU.Alyson has been there for us since they were barely a week old .She has gone above and beyond for not only the twins but also for me as my mental health wasn’t great, she encouraged me to seek support and always checked in on me at every visit. She makes me feel listened to and supportive of all the decisions I have had to make and offered to be a voice if I needed it with other medical professionals.She was out visiting before the twins got discharged on oxygen and was out every week once they were discharged .She was caring, compassionate and looked after us all. She was always at the other end of the phone if we needed her and was always offering helpful advice, guidance and reassurance through very stressful times which she continues to do to this day .She is without a doubt the best health visitor we have had .Alyson has made me feel so supported and looked after and continues to reassure me that we are doing a great job with our kids .",About:Rutherglen and Cambuslang / Health Visiting Rutherglen and CambuslangRutherglen and Cambuslang Health Visiting Rutherglen and CambuslangG72 8JR,What was good? above and beyond advice compassionate guidance health visitor helpful nothing too much trouble trusted very caring How did you feel? encouraged listened to reassured supported well looked after
Assistance from technology team,yesterday,"We were contacted by the team as referred by Kim (social care) NLC to allow access to my mum whilst at work. We purchased an Alexa Show and Robert from the team visited my mums home where he set everything up.This means we can video call my mums location ensuring she is okay at all times. She and carers, are also able to contact us too.Robert made the process easy.Thank you.",About:North Lanarkshire Health & Social Care Partnership / Assistive Technology TeamNorth Lanarkshire Health & Social Care Partnership Assistive Technology Team,What was good? easy process helpful set up staff How did you feel? helped thank you
Genuine care,yesterday,"My mother seen her last days out on the orthopaedic and trauma wards in Craigavon. The care she was given was above and beyond .when human kindness and professional protocols live side by side a special type of experience takes place .Let me give a small example of this. It may seen insignificant to some but to our family it meant the world .Every time mum had to be repositioned in bed we left the room to allow the nurses to do their job. On our return we found mum repositioned in a pristine bed with her hair brushed. I’m sure that’s not in the training manual. That is genuine care .Every person from doctors to cleaners had a smile for mum , for us as well.Why is the culture so different on these wards ? I’m not sure maybe in part it’s the ward set up, the freshness of the work environment . Whatever it is we are so grateful for you all.You can be so proud of yourselves ,you make a difference every day .Thank you from the bottom of our hearts.",About:Craigavon Area Hospital / OrthopaedicsCraigavon Area Hospital OrthopaedicsBT63 5QQCraigavon Area Hospital / Trauma  WardCraigavon Area Hospital Trauma  WardPortadownBT63 5QQ,"Stephanie Doherty-Conway Ward Sister, Orthopaedic Ward, Surgery and Clinical Services Directorate, Southern Health and Social Care Trust More responses from Stephanie Orthopaedic ward sister Submitted on 08/08/2025 at 16:18 Published on Care Opinion at 16:18 Share this response"
Birth Experience,yesterday,"I recently gave birth in the Ulster hospital and wanted to provide feedback on the care received.I was admitted to the induction bay, which had been preplanned. Stephanie who was taking care of me upon admission and throughout the day was brilliant and took her time to run through and explain everything. I did feel for her however as she was running the bay alone and given how busy it was, I'm sure another pair of hands would have been helpful. Our care was then handed over to Concepta (and another lovely lady who unfortunately I cannot remember her name!) for the evening. It was over the course of the evening that I went into labour and Concepta was brilliant, so down to earth and able to speak with honestly about the situation, which was much appreciated. I still had the choice to proceed to home from home or move to labour ward. As this was my first pregnancy and I was 1. Unsure of how much further pain I would be in, and 2. I didn't want to go to home from home unit and have to return back upstairs, I decided to go to the labour ward as this felt more straightforward.The handover from induction by the other lady (apologies!) to Rae and Gemma in the Labour ward was totally seamless! They sprung straight into action and talked me through the birth, although it was assisted by a Dr with the kiwi ventouse and an episitomy. The reasons for the interventions were explained to me and I was happy to proceed. The care from both ladies was  second to none, they made a brilliant team and I couldn't have asked for better. I was surprised to learn Gemma was close to completing her qualification - you would have thought she had been a midwife for years!I was then moved down to the maternity ward and placed in a side room. Whilst it was nice to have privacy and personal space, I do have to echo another review in that it did feel isolating due to the fact that birthing partners had to leave. I understand the rationale behind this with regards to open bays however I feel the policy should be different for side rooms.If I'd of been in the home from home unit following an uncomplicated birth, I would have had the option to have someone stay, whereas my first night was very difficult and overwhelming - a new-born that wouldn't settle at all combined with no sleep since before admission, as well as an uncomfortable wound. This does not bode well for recovery when you are advised to rest but cannot as you do not have that support.I feel the case could be argued that those with the higher care needs would benefit greater to having the additional support and I personally feel my stay on the ward would have been much more positive should I have been able to avail of that additional support of my choosing. I felt it meant trying to rely on midwives for certain things which was not practical nor a good use of resources in my opinion.Lastly I would like to say that the care from the Healthcare and Nursing Assistants on the ward was really good, they made such a difference - for one they advised that breakfast was self serve which I didn't know and at first assumed I'd been forgotten about! Also Lesley who was the midwife overseeing my care upon my day of discharge, she was great and was able to offer great advice on any queries I had.Overall I would say my experience was excellent in the Ulster with the only negative/thing I would change being that of the policy on overnight stays on the maternity ward and would welcome this to be reviewed.",About:Maternity / Labour Ward / Delivery SuiteMaternity Labour Ward / Delivery SuiteBT16 1RHThe Ulster Hospital / MaternityThe Ulster Hospital MaternityBT16 1RH,What was good? care communication doctor explained everything healthcare assistants midwifery student What could be improved? overnight care policy side room How did you feel? isolated overwhelmed satisfied
I felt comfortable the whole time,yesterday,"I went in for ingrown toenail surgery, where I was welcomed by Mark and Jenny who were incredibly friendly and put me at ease. The procedure was efficient and professional and I felt comfortable the whole time. The friendly chat with Jenny provided the perfect distraction and before I knew it I was walking out happy and relieved!",About:Countywide Community Care Service Delivery Unit / Podiatry Arrow TeamCountywide Community Care Service Delivery Unit Podiatry Arrow TeamEveshamWR11 4BS,What was good? communication efficient friendly professional staff How did you feel? comfortable happy put at ease relieved welcomed
It made me feel very cared for,yesterday,Very friendly and helpful staff.Apologising for any delay even though I thought it was all quick and very efficient. Checking to make sure everyone had registered on arrival and that no one was missing out.Very helpful when you are unsure and unfamiliar with the hospital processes.It made me feel very cared for.,About:New Stobhill Hospital / Xray and ScansNew Stobhill Hospital Xray and ScansGlasgowG21 3UW,What was good? attentive efficient friendly helpful regular check ins staff How did you feel? cared for looked after
My daughter had ingrown toe nail surgery,yesterday,"I accompanied my teenage daughter to her toe nail surgery appointment.We were greeted by Jenny who was friendly and welcoming, we then met Mark and they both put my daughter at ease instantly. They were informative and friendly, the procedure was finished within 30 minutes and we both left feeling relieved and happy with how everything went.Mark and Jenny were absolutely fantastic and in a moment of nerves they really helped to calm my daughter down.",About:Countywide Community Care Service Delivery Unit / Podiatry Arrow TeamCountywide Community Care Service Delivery Unit Podiatry Arrow TeamEveshamWR11 4BS,What was good? friendly staff How did you feel? calm happy informed put at ease relieved welcomed
I was made to feel looked after and reassured every step of the way,yesterday,I had an appointment for a sigmoidoscopy at the endoscopy department at the Golden Jubilee Hospital. I was apprehensive about the procedure but I was made to feel looked after and reassured every step of the way. Staff very friendly and caring. The department and room I was given prior to procedure was clean and comfortable. Everyone from front desk to nurses and dr were very professional and welcoming. It had a very calming atmosphere and I wouldn’t hesitate now to come back if needed.,About:Golden Jubilee National Hospital / EndoscopyGolden Jubilee National Hospital EndoscopyG81 4HX,What was good? caring clean facilities friendly professional relaxed environment staff How did you feel? reassured relaxed welcomed well looked after
Minor stroke,yesterday,"My wife suffered a mild stroke and spent a night on Clyst Ward at the RD&E in June. The staff and her treatment on the ward cannot be faulted, though she needed very little care or attention.The bedside manner and advice from the stroke specialists were spot on, though it is a quandary as to why their visits to the wards are still, after all these years, limited to the late afternoon, extending an overnight visit to 2 days and 1 night.The follow-up with a specialist required a return journey to the RD&E and interruption to our regular day. The attendance of an active receptionist in the waiting room outside Clyst Ward was unnecessary, and frankly their manner of engagement and conversation made us uncomfortable. Not all people want to share their personal stories or experiences about the event, and it did not reduce our anxiety. Much more discreet to allow the waiting patients to exchange smiles, greetings or stories on their own accord.The appearance of a trainee doctor and the rather public request that they sit in on the session with the specialist was also uncomfortable. The specialist was late for the appointment and chatted outside to a nurse for several minutes, then told them they won't be long.The advice they provided in the appointment was excellent, but again, should have been limited to the three of us. We are also wondering why such sessions cannot be conducted over the phone in the comfort of the client's own home. It seemed a needless journey and uncomfortable experience for just a brief update.",About:Royal Devon & Exeter Hospital (Wonford) / Stroke ServicesRoyal Devon & Exeter Hospital (Wonford) Stroke ServicesEX2 5DW,What was good? advice bedside manner level of care What could be improved? communication lateness staff attitude travel How did you feel? uncomfortable
Visit to CSAU,yesterday,I had to attend the CSAU department in August for further investigations and the Doctor and SN Sheba were so professional and put me at my ease with regard to taking bloods and giving me the information about what exactly was happening!I appreciate everything that was done for me!,About:Causeway Hospital / Causeway Surgical Ambulatory Unit (CSAU)Causeway Hospital Causeway Surgical Ambulatory Unit (CSAU)BT52 1HS,What was good? communication doctor information investigations nurse professional How did you feel? appreciative put at ease
The staff were very kind,yesterday,My son had an incident at home and required to go to A&E to be assessed. The staff were very kind and we were seen as promptly as we could have been. We had a lovely nurse called Annie and Student named Zoe that went out of there way to make my son as comfortable as possible.There was also a lovely HCSW that went out her way to make  my son feel better after getting blood taken. The doctor that reviewed us was very calm and explained everything well without any judgement about our situation. It definitely made a stressful situation a lot easier.,About:Royal Hospital for Children (Glasgow) / Accident & EmergencyRoyal Hospital for Children (Glasgow) Accident & EmergencyGlasgowG51 4TF,What was good? assessed quickly care communication compassionate easy efficient full explanations kind prompt staff How did you feel? calm comfortable looked after reassured
A positive experience,yesterday,"I went to A&E at Ninewells hospital, Dundee on a Friday evening with a finger injury. I consulted NHS 24 first and was advised to go there. I was dreading the visit- the waiting time in a crowded room -  but it was all so well organised that it turned out to be a positive experience.I was impressed by the information offered to patients and updated regularly. The screen showed how busy A&E was at the time (normal, busy etc), the time anticipated to been seen by the various professionals from Triage nurse to doctor. This was very helpful, and accurate, and made me more relaxed.Thanks to a chart I understood, according to tunic colour, who was treating me. The video explained the entire procedure in A&E. This was very helpful too. There was even a phone charging cabinet, in case your phone was running out of charge.The professionals who treated me were kind and efficient, ensuring I understood what they were doing and the follow-up service I would be offered.  Thank you for making this a positive experience. You're doing a great job!",About:Ninewells Hospital / Accident & EmergencyNinewells Hospital Accident & EmergencyDD1 9SY,"Kirsty Tonge Consultant Accident and Emergency, Emergency Department, NHS Tayside More responses from Kirsty Submitted on 08/08/2025 at 18:37 Published on Care Opinion at 18:37 Share this response"
I felt heard and understood,yesterday,"Following years of attending Forth Valley rheumatology I had the good fortune and pleasure of having an appointment with consultant rheumatologist, Dr Johnson.She was fabulous, like night and day compared to previous doctors I have seen. She actually listened. She took time to understand how my condition was impacting me. She then talked me through diagnosis as well as arranging new meds and undertaking bloods.Although there is no quick fix for my condition, I felt heard and understood. Like for once it's not all in my head. She provided leaflets for information and made sure I was aware I could contact if needed further guidance.I cannot thank her enough. She truly is an asset to Forth Valley.",About:Forth Valley Royal Hospital / RheumatologyForth Valley Royal Hospital RheumatologyFK5 4WR,What was good? consultant explanation guidance listening understanding How did you feel? heard informed listened to thankful understood validated
Out of hours GP and admission while on holiday,yesterday,"Due to an infection I needed to see GP out of hours. I received excellent care from initial consultation to my admission to Ward 7, Ward 26 and the breast care team. What wonderful, professional caring staff, thank you, I received the treatment I needed and was able to enjoy the rest of my holiday.",About:Community Health and Primary Care Services / NHS Tayside GP Out of Hours ServiceCommunity Health and Primary Care Services NHS Tayside GP Out of Hours ServiceDD11 2ATGeneral Surgery / General Surgery (Ward 7 & 8)General Surgery General Surgery (Ward 7 & 8)DD1 9SYNinewells Hospital / Breast SurgeryNinewells Hospital Breast SurgeryDundeeDD1 9SY,Shawkat Hasan Angus Health and Social Care Partnership More responses from Shawkat Submitted on 08/08/2025 at 15:24 Published on Care Opinion at 15:49 Share this response
Amazing care after my operation,yesterday,The nurses and staff at Stobhill were amazing in the recovery ward after my day surgery. Can't fault them they were all very kind and caring and put me at ease. Please pass thanks to everybody.,"About:New Stobhill Hospital / Day SurgeryNew Stobhill Hospital Day SurgeryGlasgowG21 3UWNew Stobhill Hospital / Theatres, Recovery and AnaestheticsNew Stobhill Hospital Theatres, Recovery and AnaestheticsGlasgowG21 3UW",What was good? caring friendly kindness nurses sensitive staff How did you feel? put at ease thankful
a big part in my recovery,yesterday,"I had a heart attack in October 24 and a stent inserted. I was enrolled to start rehab in February 25, initially for the Education classes. Midway I was cleared to join the Exercise classes. The whole experience was good. Anne and Roisin at Whiteabbey ran relaxed, friendly and informative classes. They covered so much ground and allowed time for the patients to have their say, which was so important to all of us on the course, each with their own fears. The ability to share was very important to me. There was another nurse, a great singer, and I’m sorry I can’t remember her name who was such a good listener.Exercise classes were enjoyable and well monitored. Alan took us along, each at our own pace with help and encouragement. Participation in the course has been a big part in my recovery and continues with further training and socialising with guided walks. Much thanks to all the team working in the rehab, may you continue to do your good work in helping recovery.",About:Whiteabbey Hospital / Cardiac RehabilitationWhiteabbey Hospital Cardiac RehabilitationBT37 9RH,What was good? classes encouragement exercises friendly given time good listener help informative How did you feel? grateful relaxed
The kindness and professionalism will always be remembered,yesterday,"Appreciation is expressed for the exceptional care received during the recent visit. Nurse Aoife's compassionate and reassuring tone during the initial phone assessment made a huge difference during a stressful time. The professionalism and caring approach upon arrival at the clinic were greatly appreciated.Dr. Wilson's expertise and the care provided during the examination were remarkable. The way he listened to concerns and provided clear explanations was truly appreciated. Both made the experience easier to endure by creating a safe and supportive environment.Thank you for the tireless dedication and for going above and beyond to provide excellent patient care. It is clear that you are passionate about helping others, and it made a real impact on the experience. The kindness and professionalism will always be remembered.",About:Southern Health & Social Care Trust / Urgent Care Centre (Phone First)Southern Health & Social Care Trust Urgent Care Centre (Phone First)BT63 5QQ,"Rebecca Smyth Nurse Team Lead, Urgent Care, Adult Community Services Directorate, Southern Health and Social Care Trust More responses from Rebecca Submitted on 08/08/2025 at 15:54 Published on Care Opinion at 15:54 Share this response"
"Friendly, kind and efficient",yesterday,"I was referred to SDEC by my GP and received an appointment the next morning with the team. From arrival to discharge the SDEC team and all staff I came into contact with were friendly, kind and efficient and this includes X-ray, Sodexo and Pharmacy.Investigations were carried out without delays and a thorough review with a plan in place for what will happen next. People can be quick to criticise the NHS, they don’t see the commitment and passion that staff put into their work and the care they give day after day.The whole experience was one for staff to be proud of and I would like to thank everyone for making it a lot less stressful than it could have been. You all make such a difference and I mean it!",About:North Devon District Hospital / Accident and emergencyNorth Devon District Hospital Accident and emergencyBarnstapleEX31 4JBNorth Devon District Hospital / Medical Assessment Unit (Alexandra Ward)North Devon District Hospital Medical Assessment Unit (Alexandra Ward)BarnstapleEX31 4JB,What was good? care plan caring efficient friendly great team individual care kind kindness professional prompt care staff How did you feel? cared for reassured thankful
Before and after labour experience with CoMC,yesterday,"I was looked after by Sarah one off the CoMC from i found out I was pregnant.. and during my Labour and also after I give birth, one off the kindest most helpful persons I met during my pregnancy experience, give me a very high standard of care and was there from start to finish for me I couldn't thank her enough, all staff involved in my pregnancy journey was lovely and couldn't recommend them enough. Thanks again everyone.",About:Royal Jubilee Maternity services / Continuity of Midwifery Carer ServiceRoyal Jubilee Maternity services Continuity of Midwifery Carer ServiceBelfastBT12 6BA,"Susanne Thomas O'Boyle Lead Midwife Continuity of Midwifery Carer, Royal Jubilee Maternity Hospital, Belfast Health and Social Care Trust More responses from Susanne Submitted on 08/08/2025 at 17:20 Published on Care Opinion at 17:20 Share this response"
Her professionalism and care was fantastic,yesterday,"We want to say a huge thank you to the midwives in the Borders General Hospital, especially Elidh in the labour ward that delivered our baby girl and looked after us in the maternity ward the following night. Her professionalism and care was fantastic. We were so lucky to have you!",About:Borders General Hospital / Maternity careBorders General Hospital Maternity careTD6 9BS,"Kerry Simmonds Senior Charge Midwife, Community Midwifery, NHS Borders More responses from Kerry Submitted on 08/08/2025 at 16:55 Published on Care Opinion at 16:55 Share this response"
"Friendly, polite and professional",yesterday,"Having used this service in the past I was not surprised when I was treated as to how good the service really is, all staff from reception to podiatrist are friendly, polite and above all professional in their duties. Mark knows what he is talking about and is willing to discuss all aspects of his work, he also listens to you and is able to dispel any fears you may have, he also has a good sense of humour and is more than happy to go the extra mile to help. All in all, a quality service, more than happy to attend if needed and would recommend to anyone with issues with their feet.",About:Countywide Community Care Service Delivery Unit / Podiatry Arrow TeamCountywide Community Care Service Delivery Unit Podiatry Arrow TeamEveshamWR11 4BS,What was good? friendly helpful humour polite professional service staff How did you feel? listened to reassured
"Care, compassion and professionalism",yesterday,"I found myself back in Stobhill Hospital for day care surgery following a previous visit in the Spring.  I was met by the same lovely, smiling and friendly team as before.In April I wrote a review to reflect the outstanding care I had received by the team and this experience was no different. It's the little things that matter - the blanket to keep you warm, the regular check-in chats, the interest shown by the staff to help you feel at ease, and of course the great Glasgow humour.After the procedure, everything was explained clearly and before I knew it, I was on my way. My only regret is that I didn't have the opportunity to say a personal thank you to the team as I left. So this is it -  Thank you for your care, compassion and professionalism. You have no idea what it means to be treated with such kindness and respect.",About:New Stobhill Hospital / Day SurgeryNew Stobhill Hospital Day SurgeryGlasgowG21 3UW,What was good? clear collaborative care compassion efficient explanation friendly good humoured great team helpful individual care informative interested in me kindness professionalism relaxed ward respectful teamwork very caring How did you feel? at ease respected supported thankful understood well cared for
My wonderful midwife,yesterday,"I honestly don’t have enough words to thank my wonderful midwife, Lauren. From the very beginning of my pregnancy, she was there with calm, steady support and endless knowledge. Lauren made every step of this journey feel less overwhelming and more empowering.She has this incredible ability to explain things so clearly and compassionately, which always made me feel informed and reassured. No question was ever too small, and she always took the time to listen and truly understand how I was feeling. Her kindness, empathy, and down to earth nature made her so easy to talk to, like a friend guiding me through it all.What stood out most was how comforting and present she was during the more emotional or uncertain moments. Lauren made me feel safe, cared for, and truly supported every step of the way. I feel so lucky to have had her by my side throughout this experience. She’s truly one of a kind.",About:The Princess Royal Maternity Unit / Community MidwiferyThe Princess Royal Maternity Unit Community MidwiferyGlasgowG31 2ER,What was good? easy to talk to empathy explanation guidance kindness knowledgeable very caring very compassionate very competent very supportive How did you feel? cared for comforted empowered informed listened to lucky reassured safe supported very comfortable very happy
Great practice ,yesterday,"Always get the attention I need, friendly and knowledgeable staff, the surgery is always clean and tidy",About:Willow Bank SurgeryWillow Bank SurgeryStoke on TrentST3 6AB,Who has Care Opinion told about this story?
My birthing experience,yesterday,"I recently had my baby boy in the Labour suite at Ninewells. I was booked in to have my waters broken as I was 5 days overdue.  I can honestly say I was made to feel so comfortable and I truly would do it all again in a heartbeat.  The staff are so welcoming and kind.I received outstanding care whilst I was in hospital and I can’t thank the staff enough.  My experience from start to finish is something I will honestly never forget..  the staff deserve so much recognition as they truly made my experience! Thank you so much to the labour suite Ninewells, you are all amazing!",About:Maternity care / Labour SuiteMaternity care Labour SuiteDD1 9SY,What was good? great team kindness level of care staff How did you feel? comfortable comforted emotional thankful understood welcomed
Stitches Removal,yesterday,Staff at Central Health Centre Cumbernauld were amazing. Donna and Roz helped remove 5 stitches from my leg. I've never had stitches before and they both made me feel so comfortable. They were very knowledgeable and did the full procedure very quickly.,About:Cumbernauld Locality Support Service / Treatment RoomCumbernauld Locality Support Service Treatment RoomML6 9JA,What was good? knowledgeable quick staff How did you feel? comfortable
Appointment at fracture clinic,yesterday,"Very efficient,  no long waits, staff friendly and very competent. My son was very reassured after breaking his wrist.",About:Royal Hospital for Children (Glasgow) / Plaster RoomRoyal Hospital for Children (Glasgow) Plaster RoomGlasgowG51 4TF,What was good? efficient friendly waiting time How did you feel? reassured
"Great communication, knowledge and interpersonal skills",yesterday,"Following an unfortunate accident involving one stair, I had tri malleolar fracture. Once I was discharged home after surgery I was followed up by the physiotherapist Kevin from north Lanarkshire department.He assessed and gave me valuable advice and exercises to ensure I recovered safely. He was professional with great communication, knowledge and interpersonal skills.I have now been discharged from the service after a good recovery but would like to acknowledge Kevin for his help in my recovery.",About:Bellshill Locality Support Service / Integrated Rehabilitation TeamBellshill Locality Support Service Integrated Rehabilitation TeamML4 2AE,What was good? advice communication exercises helpful knowledgeable physio professional
We were looked after with such care and consideration,yesterday,"Took my husband to A&E in the early hours as he had collapsed/rolled out of bed very heavily and injured his head, bleeding, and was not with it at all and couldn't remember it happening. He suffers with 2 cancers and gets very tired.  I was not happy with his responses and bang to head so took him to Royal Surrey A&E as worried possible mini stroke (had one years ago) or his levels were low due to cancer.From the moment we arrived, we were looked after with such care and consideration - right from the receptionist, nursing staff, Triage Nurse, porter, CT staff and finally the A&E Doctor on duty.He had tests done and thoroughly checked and pleased to say did not have a stroke and levels/heart were fine.  We were discharged and returned home to sleep/rest, relieved that no major issues to add to his cancer issues.We cannot fault the treatment he had and want to pass on a huge thank you to everyone.",About:Royal Surrey County Hospital / Accident and emergencyRoyal Surrey County Hospital Accident and emergencyGuildfordGU2 7XXRoyal Surrey County Hospital / RadiologyRoyal Surrey County Hospital RadiologyGuildfordGU2 7XX,What was good? compassion consideration doctor efficient level of care nothing too much trouble nurses professionalism treatment How did you feel? cared for listened to thankful well looked after
Quitting smoking,yesterday,Very positive experience. Good in person programme.  Not preachy or judgemental.  All really good.,About:Quit your Way / Quit your Way (Glasgow City)Quit your Way Quit your Way (Glasgow City),What was good? good meeting in person no judgement positive experience programme
Excellent and efficient appointment,yesterday,Excellent and efficient appointment with staff who had all the information I needed. I felt confident in what was ahead.,About:Victoria Hospital / Pre-assessmentVictoria Hospital Pre-assessmentKirkcaldyKY2 5AH,"Jeanette Ross Nurse Practitioner, Surgical Pre-Assessment, NHS Fife More responses from Jeanette Submitted on 08/08/2025 at 15:27 Published on Care Opinion at 15:49 Share this response"
Made the experience as pleasant as possible!,yesterday,"All staff from start to finish were professional, helpful, friendly and made the experience as pleasant as possible! Many thanks to Dr Scott, Allison, Honey, Olivia, Cha-Cha and Vilma.",About:Royal Victoria Hospital / Endoscopy UnitRoyal Victoria Hospital Endoscopy UnitBelfastBT12 6BA,"Heather Russell Deputy sister, Endoscopy, Belfast Health and Social Care Trust More responses from Heather work with a great team Submitted on 08/08/2025 at 15:57 Published on Care Opinion at 15:57 Share this response"
